eva,pc,var,pfr.kgr,psr.kgr,par.kgr,pfa.kgr,psa.kgr,paa.kgr,L de raices.km,dano
4,sano,antillano,0.068,0.0279,0.0401,0.1582,0.0539,0.1043,2.13966,0
4,sano,antillano,0.0787,0.0284,0.0503,0.1718,0.0631,0.1087,2.92395,0
4,sano,antillano,0.0546,0.0237,0.0309,0.1012,0.0432,0.058,2.55278,0
4,sano,antillano,0.0563,0.0225,0.0338,0.1486,0.0475,0.1011,2.22346,0
4,sano,antillano,0.0753,0.0308,0.0445,0.1443,0.0503,0.094,2.61479,0
4,sano,antillano,0.0811,0.0281,0.053,0.1298,0.0523,0.0775,2.47834,0
4,sano,mexicano,0.0458,0.0255,0.0203,0.0904,0.044,0.0464,2.35508,0
4,sano,mexicano,0.0328,0.0197,0.0131,0.0885,0.0393,0.0492,1.67433,0
4,sano,mexicano,0.0288,0.0213,0.0075,0.0778,0.0386,0.0392,0.99643,0
4,sano,mexicano,0.0382,0.0232,0.015,0.0984,0.0496,0.0488,2.04964,0
4,sano,mexicano,0.0408,0.0233,0.0175,0.0804,0.0418,0.0386,1.85117,0
4,sano,mexicano,0.043,0.0238,0.0192,0.0878,0.0376,0.0502,2.0969,0
4,sano,zutano,0.0778,0.0264,0.0514,0.1625,0.0603,0.1022,2.23691,0
4,sano,zutano,0.0752,0.0271,0.0481,0.1293,0.0483,0.081,2.1308,0
4,sano,zutano,0.0573,0.0232,0.0341,0.1347,0.0518,0.0829,1.6253,0
4,sano,zutano,0.0608,0.0228,0.038,0.1485,0.0538,0.0947,2.10179,0
4,sano,zutano,0.0502,0.0208,0.0294,0.1681,0.0605,0.1076,1.81986,0
4,sano,zutano,0.0718,0.0258,0.046,0.1513,0.0548,0.0965,2.08503,0
4,sano,nabal,0.0366,0.0238,0.0128,0.1051,0.0431,0.062,1.43231,0
4,sano,nabal,0.0424,0.0248,0.0176,0.1258,0.0513,0.0745,2.36723,0
4,sano,nabal,0.0402,0.0242,0.016,0.1108,0.0469,0.0639,2.84695,0
4,sano,nabal,0.0341,0.0226,0.0115,0.1223,0.0495,0.0728,1.79875,0
4,sano,nabal,0.0459,0.0253,0.0206,0.1095,0.0418,0.0677,1.68495,0
4,sano,nabal,0.0399,0.0266,0.0133,0.0991,0.0398,0.0593,2.60992,0
5,enfermo,antillano,0.0284,0.014,0.0144,0.0435,0.0262,0.0173,0.1298,0.95
5,enfermo,antillano,0.0256,0.0221,0.0035,0.0253,0.0224,0.0029,0.41477,0.8
5,enfermo,antillano,0.0163,0.0142,0.0021,0.0249,0.022,0.0029,0.32919,0.85
5,enfermo,antillano,0.0162,0.0138,0.0024,0.0282,0.0252,0.003,0.18878,0.85
5,enfermo,antillano,0.0148,0.0128,0.002,0.0349,0.0316,0.0033,0.34719,0.85
5,enfermo,antillano,0.0153,0.0138,0.0015,0.0335,0.0298,0.0037,0.2953,0.9
5,enfermo,mexicano,0.0294,0.0029,0.0265,0.0868,0.0381,0.0487,0.64799,0.75
5,enfermo,mexicano,0.0533,0.0056,0.0477,0.1141,0.0455,0.0686,1.88446,0.1
5,enfermo,mexicano,0.0511,0.0075,0.0436,0.1474,0.0602,0.0872,1.76097,0.45
5,enfermo,mexicano,0.0468,0.0101,0.0367,0.1289,0.0462,0.0827,1.83306,0.1
5,enfermo,mexicano,0.0455,0.008,0.0375,0.1088,0.0451,0.0637,1.84291,0.5
5,enfermo,mexicano,0.05,0.0063,0.0437,0.1191,0.0505,0.0686,1.17811,0.35
5,enfermo,zutano,0.0738,0.0233,0.0505,0.1448,0.0509,0.0939,1.53752,0.15
5,enfermo,zutano,0.0835,0.0236,0.0599,0.1972,0.0624,0.1348,2.67399,0.35
5,enfermo,zutano,0.0844,0.025,0.0594,0.1828,0.058,0.1248,1.99529,0.25
5,enfermo,zutano,0.0741,0.0258,0.0483,0.1878,0.0594,0.1284,1.75819,0.25
5,enfermo,zutano,0.0719,0.0248,0.0471,0.1608,0.0577,0.1031,1.91092,0.15
5,enfermo,zutano,0.0291,0.0148,0.0143,0.1058,0.0447,0.0611,0.3456,0.95
5,enfermo,nabal,0.0643,0.0116,0.0527,0.1725,0.0493,0.1232,0.75256,0.3
5,enfermo,nabal,0.0938,0.0092,0.0846,0.206,0.039,0.167,1.64961,0.9
5,enfermo,nabal,0.0497,0.019,0.0307,0.1274,0.0511,0.0763,0.65147,0.65
5,enfermo,nabal,0.0408,0.019,0.0218,0.0764,0.0524,0.024,0.37616,0.35
5,enfermo,nabal,0.0528,0.0167,0.0361,0.0878,0.0628,0.025,0.87286,0.15
5,enfermo,nabal,0.0594,0.0137,0.0457,0.106,0.0538,0.0522,0.64894,0.75
5,sano,antillano,0.0614,0.0306,0.0308,0.1498,0.0729,0.0769,1.24837,0
5,sano,antillano,0.1143,0.0418,0.0725,0.2021,0.0989,0.1032,1.99083,0
5,sano,antillano,0.1076,0.0364,0.0712,0.1715,0.0658,0.1057,2.03938,0
5,sano,antillano,0.1175,0.0434,0.0741,0.1855,0.0735,0.112,2.03025,0
5,sano,antillano,0.0983,0.0354,0.0629,0.1848,0.0808,0.104,1.98319,0
5,sano,antillano,0.1103,0.0456,0.0647,0.2058,0.0796,0.1262,2.1107,0
5,sano,mexicano,0.0458,0.0056,0.0402,0.1084,0.0419,0.0665,1.56218,0
5,sano,mexicano,0.0762,0.0158,0.0604,0.1061,0.0417,0.0644,2.90851,0
5,sano,mexicano,0.0718,0.0133,0.0585,0.1879,0.0736,0.1143,2.3877,0
5,sano,mexicano,0.0668,0.0197,0.0471,0.1093,0.0327,0.0766,3.21094,0
5,sano,mexicano,0.0623,0.0144,0.0479,0.0911,0.0385,0.0526,2.47687,0
5,sano,mexicano,0.0633,0.0158,0.0475,0.1063,0.0448,0.0615,3.15386,0
5,sano,zutano,0.0663,0.0293,0.037,0.2202,0.077,0.1432,1.67493,0
